student_id,study_hours_per_week,attendance_pct,sleep_hours_per_night,screen_time_hours_per_day,practice_sessions_per_week,test_score,passed
S001,15.0,98.4,8.4,1.6,5,83,1
S002,4.6,71.2,6.1,7.5,2,35,0
S003,10.3,85.8,7.9,5.2,3,60,1
S004,5.6,66.9,5.5,6.5,0,46,0
S005,5.5,70.6,5.4,7.7,2,42,0
S006,17.2,93.3,7.8,3.1,5,78,1
S007,17.6,94.8,8.6,1.8,5,92,1
S008,18.1,90.7,8.4,2.3,6,79,1
S009,21.4,94.5,9.1,2.2,4,86,1
S010,13.7,91.9,7.8,2.4,3,75,1
S011,12.8,98.0,8.1,2.3,6,80,1
S012,11.8,93.7,8.3,3.0,6,77,1
S013,4.6,61.3,6.9,4.4,1,49,0
S014,17.7,93.5,7.4,1.7,5,83,1
S015,0.5,60.6,5.8,8.3,1,34,0
S016,4.2,71.3,5.7,6.1,1,41,0
S017,13.9,94.4,8.0,2.4,6,79,1
S018,7.2,86.5,6.1,4.3,3,57,0
S019,9.0,85.9,7.5,6.5,5,63,1
S020,6.7,85.3,7.3,2.9,3,64,1
S021,8.9,85.5,7.9,4.6,3,65,1
S022,8.8,85.4,6.3,3.4,2,60,1
S023,4.3,73.8,6.6,4.7,0,42,0
S024,8.2,85.5,7.4,3.7,3,62,1
S025,14.4,94.3,8.9,1.0,5,81,1
S026,4.1,73.6,6.4,8.0,1,43,0
S027,15.3,95.9,8.4,2.2,5,92,1
S028,9.6,93.8,8.0,3.6,4,66,1
S029,10.3,84.1,8.4,5.4,3,66,1
S030,15.2,100.0,8.6,1.7,5,88,1
S031,3.3,62.5,5.7,7.7,2,38,0
S032,16.6,92.3,7.5,1.7,6,93,1
S033,11.0,83.9,6.8,4.6,2,60,1
S034,12.6,77.1,7.4,3.2,4,69,1
S035,4.4,70.8,6.0,7.7,0,37,0
S036,9.5,84.8,8.0,3.9,3,62,1
S037,8.7,80.0,6.0,3.3,3,59,0
S038,17.6,94.5,7.7,2.7,6,87,1
S039,7.2,83.3,7.7,5.5,4,60,1
S040,8.3,82.7,7.0,6.4,3,63,1
S041,17.7,94.5,8.6,3.0,5,83,1
S042,14.9,90.7,8.2,1.9,5,77,1
S043,1.6,74.9,6.2,7.5,2,54,0
S044,14.0,97.9,8.2,3.0,5,80,1
S045,12.4,93.3,8.6,2.4,5,72,1
S046,5.6,67.7,4.8,7.1,1,37,0
S047,10.6,81.5,7.1,5.8,3,56,0
S048,6.8,79.0,6.5,5.7,2,57,0
S049,6.4,68.7,5.8,5.5,1,44,0
S050,13.9,100.0,9.1,3.4,4,80,1
S051,17.6,94.7,8.6,3.8,3,80,1
S052,5.5,66.8,5.0,5.6,1,46,0
S053,16.8,93.6,8.1,2.8,5,77,1
S054,15.9,96.8,8.4,2.8,5,76,1
S055,4.2,63.7,6.1,5.4,0,42,0
S056,6.3,81.9,7.5,3.0,2,60,1
S057,7.8,87.9,6.8,4.9,3,60,1
S058,10.7,85.9,6.9,5.5,1,56,0
S059,16.4,94.3,8.9,3.2,3,83,1
S060,15.1,93.1,8.1,2.3,6,76,1
S061,8.4,61.6,6.5,6.5,1,45,0
