transaction_id,amount,hour_of_day,is_online,distance_from_home_km,transactions_last_24h,is_fraud
T0001,969.0,7,0,20.2,1,0
T0002,391.0,10,1,6.4,2,0
T0003,3284.0,9,0,4.3,0,0
T0004,1797.0,14,0,3.1,4,0
T0005,163.0,15,0,2.7,4,0
T0006,1262.0,19,1,2.8,4,0
T0007,943.0,11,0,9.6,0,0
T0008,1297.0,3,0,20.7,4,0
T0009,3985.0,21,0,13.9,0,0
T0010,3951.0,12,0,5.2,3,0
T0011,1988.0,19,0,7.0,3,0
T0012,1440.0,16,0,27.9,4,0
T0013,1356.0,22,1,30.8,0,0
T0014,1452.0,13,1,4.5,1,0
T0015,132.0,10,1,1.0,2,0
T0016,2238.0,13,0,7.4,4,0
T0017,3255.0,17,0,1.6,3,0
T0018,3461.0,8,0,6.5,1,0
T0019,911.0,15,0,2.0,1,0
T0020,353.0,1,0,2.5,2,0
T0021,435.0,21,0,32.4,7,1
T0022,1927.0,11,0,11.8,3,0
T0023,1204.0,13,0,20.5,3,0
T0024,1781.0,17,1,1.9,5,0
T0025,652.0,22,0,6.6,4,0
T0026,687.0,7,0,8.9,0,0
T0027,1096.0,3,0,2.6,4,0
T0028,2507.0,21,0,0.6,3,0
T0029,466.0,12,1,1.2,1,0
T0030,1153.0,22,0,30.4,3,0
T0031,717.0,16,1,3.9,2,0
T0032,3558.0,14,1,5.5,4,0
T0033,1217.0,10,1,0.4,5,0
T0034,1132.0,15,0,1.9,2,0
T0035,1292.0,19,1,0.9,1,0
T0036,2687.0,19,0,7.1,1,0
T0037,3851.0,13,1,10.7,4,0
T0038,4143.0,20,1,15.0,2,0
T0039,3874.0,19,1,18.4,4,0
T0040,1822.0,15,1,12.7,1,0
T0041,1323.0,7,1,17.4,2,0
T0042,571.0,14,0,3.7,4,0
T0043,1177.0,19,0,8.1,1,0
T0044,2195.0,14,1,4.7,1,0
T0045,1008.0,14,1,14.1,1,0
T0046,1287.0,6,0,0.3,4,0
T0047,2873.0,5,1,3.6,5,0
T0048,1503.0,8,0,9.6,2,0
T0049,2629.0,12,1,39.0,2,0
T0050,238.0,12,1,5.5,1,0
T0051,3869.0,18,0,5.4,3,0
T0052,3667.0,10,1,4.9,1,0
T0053,1092.0,22,0,6.5,2,0
T0054,528.0,7,0,7.9,5,0
T0055,4701.0,19,1,40.4,2,0
T0056,2119.0,15,0,10.5,2,0
T0057,2947.0,12,0,4.5,2,0
T0058,2020.0,8,0,19.6,2,0
T0059,2300.0,17,0,10.7,4,0
T0060,1005.0,18,1,6.9,2,0
T0061,954.0,17,1,18.2,0,0
T0062,3027.0,20,0,10.3,1,0
T0063,2636.0,16,1,6.9,3,0
T0064,1712.0,8,1,8.2,0,0
T0065,7726.0,1,0,112.4,6,1
T0066,3149.0,11,0,9.6,2,0
T0067,754.0,21,0,5.7,2,0
T0068,1377.0,6,1,8.0,1,0
T0069,1327.0,11,0,8.9,1,0
T0070,1127.0,14,0,6.8,4,0
T0071,1881.0,15,1,11.1,1,0
T0072,3136.0,14,0,16.0,4,0
T0073,1885.0,18,0,0.8,2,0
T0074,1103.0,9,0,3.0,4,0
T0075,999.0,14,0,29.2,2,0
T0076,572.0,8,0,8.7,1,0
T0077,2025.0,11,0,11.4,1,0
T0078,2350.0,12,1,2.8,1,0
T0079,680.0,19,0,9.9,2,0
T0080,3819.0,18,0,63.5,3,1
T0081,1582.0,10,0,2.8,2,0
T0082,6425.0,8,0,1.2,0,0
T0083,1711.0,6,0,5.5,2,0
T0084,163.0,21,0,6.3,3,0
T0085,3118.0,6,0,13.4,3,0
T0086,658.0,16,1,7.6,1,0
T0087,881.0,11,1,2.3,1,0
T0088,2466.0,9,1,1.4,1,0
T0089,5699.0,15,0,8.5,1,0
T0090,3547.0,14,1,6.2,3,0
T0091,252.0,19,0,4.9,3,0
T0092,812.0,9,0,4.0,2,0
T0093,1638.0,21,0,3.0,1,0
T0094,2363.0,9,1,4.8,2,0
T0095,3593.0,8,0,21.6,0,0
T0096,913.0,10,0,31.0,0,0
T0097,1711.0,14,0,1.8,1,0
T0098,2082.0,1,1,0.7,0,0
T0099,2027.0,22,0,24.9,1,0
T0100,1277.0,14,1,16.9,2,0
T0101,378.0,20,1,9.7,1,0
T0102,5990.0,1,0,56.0,5,1
T0103,427.0,11,0,12.2,2,0
T0104,1546.0,10,0,6.0,3,0
T0105,3786.0,18,0,0.6,5,0
T0106,1682.0,9,0,1.3,3,0
T0107,2565.0,17,1,4.9,0,0
T0108,4236.0,16,0,2.3,1,0
T0109,306.0,18,1,1.4,1,0
T0110,1760.0,16,0,6.5,2,0
T0111,870.0,14,0,25.6,0,0
T0112,1002.0,19,0,3.3,1,0
T0113,1414.0,12,1,19.2,4,0
T0114,1461.0,18,1,23.5,1,0
T0115,819.0,13,0,1.7,1,0
T0116,420.0,19,0,5.3,4,0
T0117,1826.0,18,0,5.0,3,0
T0118,1852.0,20,1,2.1,1,0
T0119,1734.0,17,1,2.0,2,0
T0120,845.0,12,0,4.0,1,0
T0121,3102.0,17,1,4.3,2,0
T0122,1569.0,11,0,0.0,3,0
T0123,4417.0,13,1,0.0,1,0
T0124,962.0,7,0,1.7,2,0
T0125,1439.0,22,1,17.7,6,1
T0126,2865.0,7,1,11.5,1,0
T0127,1092.0,10,1,3.7,1,0
T0128,904.0,16,0,2.0,2,0
T0129,110.0,10,1,5.6,1,0
T0130,3778.0,16,1,4.7,1,0
T0131,457.0,0,0,76.1,1,1
T0132,6077.0,2,1,18.0,3,0
T0133,403.0,12,0,5.3,5,0
T0134,1791.0,11,0,2.7,1,0
T0135,1426.0,16,1,27.4,1,0
T0136,1846.0,11,1,29.4,1,0
T0137,307.0,16,1,7.2,2,0
