area_sqft,bedrooms,bathrooms,age_years,distance_to_center_km,neighborhood_type,price_lakhs
1501,1,1,40.0,9.8,outskirts,65.9
1664,3,2,3.0,5.5,outskirts,120.3
1349,2,2,15.0,3.3,suburb,95.5
1010,2,1,32.0,12.6,outskirts,36.3
1250,1,1,26.0,4.9,outskirts,66.0
955,1,1,3.0,7.4,city_center,128.7
1533,2,1,16.0,21.5,suburb,92.2
2237,3,3,26.0,7.9,city_center,187.8
1229,1,1,28.0,18.6,outskirts,57.4
1159,1,1,18.0,14.2,city_center,131.0
1769,3,2,8.0,6.6,outskirts,125.5
1696,3,2,39.0,8.1,suburb,131.8
1558,2,2,19.0,3.9,suburb,116.0
988,1,1,29.0,15.5,suburb,57.6
1484,3,2,21.0,15.2,outskirts,84.6
1882,1,1,3.0,7.6,outskirts,108.5
761,1,1,9.0,6.9,suburb,66.7
1248,2,2,3.0,12.2,suburb,121.6
454,1,1,8.0,13.9,city_center,79.3
791,2,1,8.0,4.7,city_center,107.5
487,1,1,17.0,9.2,outskirts,30.6
1371,2,2,13.0,12.4,outskirts,99.3
803,1,1,15.0,6.1,outskirts,48.6
1649,3,3,33.0,11.9,suburb,127.0
1586,2,1,1.0,8.2,suburb,121.9
1397,2,1,4.0,14.4,outskirts,75.4
450,1,1,,5.7,suburb,35.3
1204,3,2,21.0,6.8,suburb,100.4
1473,2,2,18.0,,outskirts,103.0
1562,2,1,11.0,4.1,suburb,111.7
658,1,1,22.0,4.2,outskirts,57.8
1237,3,2,9.0,15.1,outskirts,62.4
962,1,1,34.0,4.2,outskirts,44.8
1055,2,2,33.0,5.9,outskirts,67.0
2083,2,1,13.0,15.0,outskirts,120.3
1056,1,1,1.0,10.5,outskirts,67.2
1482,2,1,36.0,,suburb,76.6
1986,3,3,12.0,18.0,suburb,139.2
1179,2,2,26.0,13.0,outskirts,45.8
1439,1,1,34.0,20.4,outskirts,82.0
1561,2,2,32.0,16.1,suburb,93.6
1535,2,1,35.0,6.7,city_center,143.3
826,1,1,20.0,1.9,city_center,98.0
1542,1,1,34.0,5.1,suburb,97.5
2247,4,3,18.0,2.7,outskirts,132.5
649,1,1,11.0,9.4,outskirts,48.7
1973,3,2,19.0,5.0,suburb,145.0
1566,2,1,13.0,3.6,suburb,132.0
1147,2,1,31.0,8.0,suburb,77.1
2600,4,4,33.0,2.9,city_center,212.1
1919,3,2,6.0,4.4,city_center,204.2
840,1,1,7.0,21.1,suburb,46.8
1541,2,2,15.0,6.6,suburb,96.9
1817,3,2,19.0,2.9,outskirts,122.3
1396,2,1,38.0,12.1,city_center,110.3
1876,3,3,38.0,8.3,outskirts,96.5
1463,2,1,39.0,8.5,suburb,108.1
1867,2,1,,5.1,suburb,120.3
2291,3,2,27.0,4.7,outskirts,146.8
1128,1,1,11.0,4.0,city_center,122.7
1612,3,2,15.0,2.9,outskirts,126.5
1245,1,1,0.0,10.5,outskirts,90.7
1570,2,1,33.0,4.0,outskirts,82.3
847,2,2,11.0,9.3,city_center,111.4
1181,3,2,3.0,6.7,suburb,101.8
1392,3,3,13.0,5.1,suburb,122.0
1994,3,3,13.0,1.8,outskirts,146.1
2130,3,2,29.0,9.7,city_center,161.8
772,2,1,0.0,8.8,city_center,128.1
1063,1,1,9.0,8.8,outskirts,45.9
1856,2,2,36.0,11.9,suburb,105.5
450,1,1,34.0,17.6,city_center,39.3
1245,2,2,25.0,13.8,city_center,146.4
1446,2,1,22.0,2.9,suburb,115.0
2191,2,1,9.0,4.6,suburb,163.6
1879,2,2,35.0,17.0,outskirts,77.4
1320,2,1,30.0,13.7,outskirts,75.2
