shopper_id,visits_per_month,avg_session_minutes,avg_order_value,discount_usage_pct,cart_abandon_pct
C001,14.7,21.3,218.0,42.5,84.4
C002,13.3,5.4,442.0,72.2,31.5
C003,3.1,14.1,6634.0,39.9,13.8
C004,11.6,8.5,610.0,65.4,35.0
C005,2.0,5.6,3892.0,21.7,28.5
C006,9.3,16.4,3017.0,17.9,3.9
C007,3.2,14.4,3141.0,11.8,12.4
C008,6.6,9.4,3192.0,13.5,10.4
C009,7.7,19.4,3087.0,10.8,14.0
C010,13.1,20.1,221.0,55.1,77.5
C011,11.0,10.6,378.0,67.0,40.3
C012,1.0,13.5,7098.0,17.4,27.5
C013,1.9,10.7,5406.0,21.3,15.0
C014,5.8,8.4,3158.0,1.4,11.2
C015,4.5,10.4,6691.0,17.0,15.3
C016,11.3,25.5,177.0,50.4,67.3
C017,1.5,10.6,6251.0,19.7,17.7
C018,1.0,14.3,6490.0,24.4,5.3
C019,1.0,9.8,6815.0,20.0,12.9
C020,13.3,22.6,370.0,35.3,80.5
C021,11.4,3.4,580.0,67.9,33.5
C022,7.1,16.9,3986.0,9.8,8.3
C023,17.1,26.4,428.0,23.6,80.9
C024,11.7,9.4,455.0,57.6,25.5
C025,9.9,18.4,2587.0,0.0,17.2
C026,3.8,18.6,265.0,29.7,82.5
C027,17.0,12.7,371.0,70.4,28.0
C028,15.3,8.6,338.0,84.5,42.4
C029,16.9,6.5,671.0,47.7,39.2
C030,11.5,23.6,173.0,0.0,69.2
C031,7.1,25.0,107.0,48.6,81.8
C032,5.3,14.6,325.0,33.8,68.0
C033,14.2,9.1,376.0,78.9,32.9
C034,13.6,29.4,320.0,54.4,86.7
C035,10.0,15.6,2444.0,16.7,15.4
C036,2.2,15.9,5375.0,24.7,19.6
C037,4.2,7.9,4849.0,27.9,27.7
C038,5.4,14.4,2563.0,14.4,14.5
C039,1.3,1.0,4789.0,27.6,20.8
C040,7.0,18.4,4190.0,5.9,5.7
C041,10.2,24.7,2963.0,8.0,4.2
C042,9.5,21.1,325.0,66.7,91.6
C043,11.4,7.3,321.0,63.8,33.2
C044,12.8,27.2,200.0,33.8,74.4
C045,13.0,23.1,276.0,41.7,75.7
C046,12.4,7.2,459.0,81.2,33.5
C047,5.3,25.3,197.0,24.4,90.8
C048,8.0,17.0,2561.0,14.4,6.6
C049,1.8,8.7,4829.0,45.4,18.8
C050,1.0,13.6,3486.0,31.8,12.7
C051,1.0,13.0,7887.0,25.0,16.2
C052,1.5,13.6,5761.0,22.3,5.1
C053,12.3,34.2,106.0,58.6,75.2
C054,5.6,13.3,3322.0,1.5,6.9
C055,14.3,25.9,133.0,45.4,73.9
C056,1.0,14.8,6265.0,5.7,43.8
C057,8.0,20.6,2844.0,10.7,20.5
C058,11.4,8.2,260.0,33.2,72.8
C059,7.0,7.0,2506.0,21.0,8.3
C060,9.7,23.3,3820.0,11.5,13.6
C061,1.0,11.2,6865.0,35.8,31.9
C062,8.1,11.7,1878.0,16.0,7.3
C063,12.7,23.5,298.0,43.1,72.1
C064,1.3,10.9,3509.0,22.7,24.6
C065,12.5,8.8,498.0,66.1,35.6
C066,5.2,12.2,3204.0,3.5,9.4
C067,1.3,9.1,6235.0,37.8,0.0
C068,11.0,24.4,240.0,39.4,74.5
C069,12.4,22.1,244.0,23.2,86.7
C070,1.0,10.9,5559.0,17.9,19.9
C071,12.1,14.4,255.0,74.0,68.3
C072,18.0,11.7,383.0,85.7,34.2
C073,19.9,10.8,651.0,78.4,27.4
C074,8.0,7.1,2124.0,26.9,18.3
C075,12.5,4.8,628.0,94.6,37.8
C076,2.0,14.6,5961.0,15.0,9.9
C077,15.6,8.7,455.0,67.1,34.2
C078,2.8,6.4,4374.0,12.0,21.1
C079,10.5,17.1,3674.0,5.7,5.8
C080,8.6,17.5,310.0,30.2,83.1
C081,13.0,7.5,487.0,78.2,31.2
C082,13.0,11.4,442.0,76.3,37.4
C083,10.5,26.2,307.0,42.9,93.2
C084,13.3,6.0,390.0,87.5,57.0
C085,12.7,9.1,383.0,69.8,39.1
C086,9.8,12.7,4379.0,15.2,8.4
C087,9.6,15.5,3259.0,7.6,11.8
C088,2.1,9.3,5486.0,24.8,15.6
C089,6.1,9.4,3983.0,16.1,12.2
C090,11.3,6.5,383.0,83.1,30.4
C091,13.2,25.7,362.0,45.0,75.3
C092,8.0,21.3,3020.0,19.3,4.5
C093,1.2,7.7,4365.0,26.2,14.8
