word_freq_free,word_freq_offer,num_links,num_exclamation_marks,message_length_words,sender_in_contacts,is_spam
4.11,1.13,3,4,104,0,1
0.0,0.0,0,3,154,1,0
0.32,0.09,0,0,149,1,0
0.01,0.07,1,1,68,0,0
0.0,0.28,2,0,64,1,0
0.99,2.84,4,7,119,0,1
0.02,0.12,0,1,165,1,0
0.15,0.0,2,2,77,1,0
1.64,1.6,4,5,95,0,1
0.67,1.62,3,4,153,0,1
6.22,1.87,7,6,111,0,1
5.71,0.37,1,3,44,1,1
0.0,0.0,0,0,14,1,0
0.14,0.0,1,1,159,1,0
3.93,3.37,5,7,40,1,1
0.44,0.08,0,1,214,1,0
3.9,2.1,5,2,127,0,1
3.15,1.83,5,6,83,0,1
0.29,0.0,2,0,213,0,0
3.22,2.64,4,8,91,0,1
3.73,1.15,5,6,41,0,1
0.05,0.09,0,1,97,1,0
2.16,0.88,1,0,216,1,0
0.01,0.0,2,0,41,1,0
1.98,2.21,3,5,59,0,1
0.53,0.0,0,1,144,1,0
0.0,0.63,0,0,5,1,0
0.01,0.01,1,1,55,0,0
3.65,0.46,5,7,127,0,1
0.36,0.12,2,1,204,1,0
2.78,1.64,1,4,117,0,1
2.11,4.75,6,6,82,0,1
4.62,3.37,6,6,84,0,1
0.01,0.0,1,1,143,1,0
4.39,1.41,7,2,83,0,1
0.74,0.21,0,1,187,1,0
0.01,0.14,1,0,76,0,0
0.05,0.0,0,1,141,1,0
0.15,0.04,0,0,119,0,0
0.01,0.01,0,0,83,1,0
3.21,0.53,5,5,100,0,1
0.81,2.73,6,6,98,0,1
0.08,0.13,3,0,188,0,0
0.02,0.25,0,2,37,0,0
0.95,3.71,5,10,101,0,1
0.02,0.07,2,1,97,1,0
0.78,0.02,1,0,68,1,0
1.29,0.5,0,1,149,1,0
0.05,0.0,0,1,5,1,0
0.05,0.0,1,1,289,1,0
0.86,0.11,2,1,132,1,0
1.61,2.74,4,4,136,1,1
2.03,1.37,3,3,127,0,1
0.0,0.07,1,0,151,1,0
1.86,1.52,6,6,86,0,1
0.1,0.0,1,1,238,1,0
0.29,0.08,0,2,165,0,0
0.64,0.0,0,1,158,0,0
0.09,0.02,0,0,98,1,0
3.05,1.21,6,3,81,0,1
5.22,2.73,2,5,109,0,1
3.32,1.12,2,1,144,0,1
0.04,0.57,2,2,106,1,0
3.64,0.24,4,8,101,0,1
8.31,1.23,5,5,63,0,1
4.55,1.07,7,9,65,0,1
3.58,1.92,2,7,66,1,1
0.0,1.43,0,1,175,1,0
0.26,0.27,0,2,62,0,0
0.15,0.05,1,0,107,1,0
0.0,0.03,1,0,78,1,0
0.27,0.67,0,0,5,1,0
0.35,0.18,1,1,103,1,0
0.68,1.96,7,8,79,0,1
0.0,0.12,0,2,89,1,0
0.63,0.0,1,1,146,1,0
0.44,0.0,3,1,179,1,0
2.14,0.16,1,1,106,1,0
0.03,0.0,0,1,165,1,0
1.99,0.86,3,2,135,0,1
2.26,1.7,4,3,108,0,1
0.07,0.37,1,0,127,0,0
0.0,0.1,3,1,83,1,0
0.19,0.0,1,0,178,0,0
2.64,1.54,2,6,105,0,1
1.53,7.1,2,5,164,0,1
0.01,0.01,1,0,80,1,0
5.26,1.5,7,5,87,0,1
0.01,0.1,2,2,86,0,0
0.53,0.12,1,0,242,1,0
0.27,0.37,1,0,128,1,0
0.85,0.1,1,0,86,1,0
0.02,0.26,0,1,72,0,0
0.33,0.14,0,2,190,1,0
0.02,0.64,0,1,105,1,0
3.26,0.73,6,3,112,0,1
0.0,0.1,2,1,25,1,0
0.76,2.44,6,6,49,0,1
0.35,0.02,0,3,80,0,0
0.01,0.0,2,2,145,0,0
0.0,0.2,0,2,68,0,0
1.77,1.43,4,5,157,0,1
2.92,0.74,6,5,67,0,1
0.32,0.09,4,2,187,1,0
5.14,1.58,1,3,141,0,1
4.47,5.76,4,5,112,0,1
4.04,1.87,4,3,182,0,1
0.13,0.17,0,2,168,0,0
0.46,0.0,2,1,144,1,0
3.11,1.07,8,5,142,0,1
0.18,0.12,0,0,95,0,0
0.26,0.09,1,2,130,1,0
1.94,2.49,3,5,156,0,1
0.01,0.25,3,1,111,1,0
0.01,0.01,0,2,169,1,0
0.01,1.69,0,0,222,1,0
0.52,0.0,2,1,145,1,0
0.13,0.0,0,1,5,0,0
0.38,0.01,0,1,24,0,0
0.0,0.66,0,0,120,1,0
1.93,6.92,3,6,51,0,1
0.08,0.01,0,0,130,1,0
0.0,0.0,0,0,171,0,0
0.01,0.14,1,2,179,1,0
0.17,0.0,1,0,226,0,0
0.2,2.81,7,9,97,1,1
0.32,0.19,0,1,80,1,0
0.1,0.0,0,1,106,1,0
0.01,0.02,0,1,191,1,0
0.19,0.0,2,3,116,1,0
0.01,0.07,0,1,189,1,0
2.81,6.28,6,5,144,0,1
3.45,1.85,9,5,108,0,1
0.66,0.0,0,3,49,1,0
0.01,0.16,2,3,118,1,0
0.49,0.0,0,1,196,1,0
2.16,0.38,2,6,104,0,1
0.23,0.44,4,9,78,0,1
0.33,0.28,2,0,155,0,0
0.04,0.72,2,2,140,1,0
0.12,0.0,0,0,184,1,0
2.78,2.32,1,12,59,0,1
3.81,0.65,6,6,130,0,1
0.02,0.03,1,3,97,1,0
0.0,0.52,0,0,111,1,0
0.66,1.77,6,2,61,0,1
0.19,0.0,0,1,185,1,0
0.01,0.0,0,0,34,1,0
1.08,4.5,3,6,18,0,1
0.39,0.04,1,0,186,1,0
2.15,5.31,7,5,28,0,1
0.55,0.02,1,2,171,0,0
1.49,1.68,5,4,76,0,1
0.42,2.39,10,4,105,0,1
0.01,0.0,0,2,269,1,0
6.45,3.38,6,7,94,0,1
0.27,0.94,1,1,116,1,0
2.74,1.72,2,9,83,0,1
0.01,0.1,0,1,178,1,0
0.44,0.07,1,2,168,1,0
1.42,1.31,3,2,95,0,1
4.01,2.1,12,6,137,0,1
2.01,3.44,5,5,101,0,1
0.2,0.16,0,3,8,1,0
1.93,0.23,1,1,178,1,0
0.04,0.37,2,2,112,1,0
2.21,2.42,6,4,64,0,1
0.15,0.24,3,0,113,0,0
0.15,0.49,0,0,244,1,0
0.44,0.0,0,3,175,1,0
4.53,1.2,4,10,126,0,1
0.01,0.01,0,1,154,1,0
0.03,0.0,0,1,206,1,0
0.01,0.0,2,3,48,0,0
0.07,0.0,2,0,116,0,0
0.01,0.0,1,2,129,0,0
0.01,0.04,1,1,124,0,0
0.09,0.0,2,0,185,1,0
5.4,3.63,4,6,121,0,1
0.01,0.08,0,1,133,1,0
0.02,0.0,3,1,79,0,0
2.81,6.8,4,6,167,0,1
0.38,0.0,2,1,104,1,0
7.2,1.07,3,3,91,0,1
0.77,0.03,3,0,78,0,0
0.0,0.07,1,0,139,1,0
0.88,0.22,0,2,166,1,0
0.0,0.26,1,1,126,1,0
0.0,0.03,1,0,98,1,0
1.39,2.15,4,3,88,0,1
0.29,0.0,0,2,118,0,0
0.08,0.02,0,1,204,1,0
4.54,3.04,5,3,107,1,1
0.02,0.0,2,0,132,0,0
0.0,0.08,2,2,79,1,0
0.1,0.61,0,1,47,1,0
0.2,0.03,0,0,59,0,0
0.02,0.01,0,2,87,1,0
0.91,4.49,2,5,65,0,1
0.25,0.01,2,3,141,0,0
0.0,0.0,0,1,128,1,0
0.13,0.06,2,0,185,1,0
0.0,0.31,2,0,78,1,0
2.62,1.97,3,5,96,0,1
5.31,1.22,3,5,57,0,1
0.26,1.14,0,0,161,1,0
0.0,0.16,2,2,107,1,0
0.34,0.03,0,0,7,1,0
0.85,2.49,4,7,131,0,1
1.25,1.64,4,6,139,0,1
5.88,2.14,6,4,105,0,1
0.01,0.08,0,1,226,1,0
3.02,0.89,6,6,39,0,1
0.58,0.2,1,1,69,1,0
2.59,2.38,7,8,92,0,1
0.2,0.01,0,1,40,1,0
0.38,1.14,1,0,34,0,0
0.66,0.01,1,1,108,1,0
0.43,0.0,0,1,62,1,0
3.57,5.5,7,2,140,0,1
1.08,1.74,2,4,50,1,1
3.89,1.61,5,4,35,0,1
1.97,2.38,4,3,51,0,1
0.15,0.01,1,2,84,0,0
3.27,0.57,7,5,106,0,1
0.36,0.24,2,2,143,1,0
4.16,2.49,4,2,69,0,1
1.59,2.91,3,2,95,0,1
0.51,0.14,0,0,123,0,0
0.01,0.26,1,1,101,1,0
2.59,0.82,4,7,109,1,1
0.01,0.0,1,2,91,0,0
0.27,0.62,2,2,119,1,0
1.66,0.22,6,4,123,0,1
0.04,0.0,2,0,168,1,0
0.18,0.09,4,1,62,1,0
0.36,0.14,1,1,141,1,0
0.86,0.07,1,2,48,1,0
2.92,3.45,8,9,69,1,1
6.6,3.22,3,5,59,0,1
1.44,2.64,2,8,166,0,1
0.17,0.18,1,1,144,1,0
0.48,0.04,1,1,198,1,0
1.86,0.9,4,11,151,1,1
3.37,1.2,5,2,89,0,1
0.0,0.01,1,0,128,1,0
0.0,0.2,0,1,178,0,0
4.37,2.12,3,8,84,0,1
2.71,1.28,2,1,43,0,1
0.09,0.18,1,1,185,1,0
0.13,1.1,0,3,147,1,0
0.44,0.0,3,2,100,1,0
0.02,0.85,1,2,177,1,0
3.96,3.02,7,2,97,0,1
1.41,1.01,5,3,74,0,1
0.16,0.11,2,2,121,1,0
2.63,0.36,6,11,68,0,1
0.0,0.04,1,0,134,0,0
0.42,0.0,0,0,161,1,0
0.04,0.03,0,0,102,0,0
0.0,0.0,1,1,176,1,0
4.99,1.38,6,9,52,0,1
0.03,0.0,2,2,188,1,0
0.0,0.4,1,2,58,1,0
0.04,0.17,0,1,112,1,0
4.28,0.66,3,7,159,0,1
2.06,1.43,3,4,68,0,1
6.79,0.99,3,9,47,0,1
0.4,2.15,3,3,114,0,1
0.02,0.04,1,1,35,0,0
1.17,3.06,6,9,84,0,1
4.47,0.17,6,7,48,0,1
0.01,0.11,0,0,149,1,0
0.02,0.0,0,6,207,1,0
2.23,0.65,5,2,97,0,1
1.6,3.44,3,3,78,0,1
2.67,1.56,3,4,79,0,1
0.05,0.0,1,3,81,1,0
1.81,3.64,9,6,80,0,1
